FILE_NAME=Trajectory_L4ToStow.csv,T=0.54,dt=0.001,h0=0.7,hf=0.0,theta0_deg=-235.0,thetaf_deg=-93.0,dh0=0.0,dhf=0.0,dtheta0=0.0,dthetaf=0.0,h_min_for_arm=0.3,penalty_strength=100000000.0
time,height,angle_deg,dh,dtheta_rad_s
3.430000000000000271e-01,5.171299123830989108e-01,-1.092624367015468465e+02,-2.000695331265215593e+00,5.673309587982597435e+00
3.440000000000000280e-01,5.151292170518336766e-01,-1.089373800062843429e+02,-2.014680953029917454e+00,5.627227868299949698e+00
3.450000000000000289e-01,5.131145360988036419e-01,-1.086149635990723681e+02,-2.028714088353312572e+00,5.580781895372641799e+00
3.460000000000000298e-01,5.110858220104503857e-01,-1.082952083500844935e+02,-2.042794738638713969e+00,5.533971664556077030e+00
3.470000000000000306e-01,5.090430272718116100e-01,-1.079781351297604459e+02,-2.056922905294187309e+00,5.486797171169231824e+00
3.480000000000000315e-01,5.069861043665174760e-01,-1.076637648088081249e+02,-2.071098589732548678e+00,5.439258410494655749e+00
3.490000000000000324e-01,5.049150057767848310e-01,-1.073521182582057349e+02,-2.085321793371366805e+00,5.391355377778474178e+00
3.500000000000000333e-01,5.028296839834134335e-01,-1.070432163492038740e+02,-2.099592517632961730e+00,5.343088068230383847e+00
3.510000000000000342e-01,5.007300914657804025e-01,-1.067370799533275516e+02,-2.113910763944406579e+00,5.294456477023653740e+00
3.519999999999999796e-01,4.986161807018360537e-01,-1.064337299423783918e+02,-2.128276533737525789e+00,5.245460599295124204e+00
3.529999999999999805e-01,4.964879041680985150e-01,-1.061331871884366223e+02,-2.142689828448895994e+00,5.196100430145207838e+00
3.539999999999999813e-01,4.943452143396496190e-01,-1.058354725638632061e+02,-2.157150649519846475e+00,5.146375964637886824e+00
3.549999999999999822e-01,4.921880636901297401e-01,-1.055406069413018741e+02,-2.171658998396460039e+00,5.096287197800715596e+00
3.559999999999999831e-01,4.900164046917332983e-01,-1.052486111936813415e+02,-2.186214876529571249e+00,5.045834124624818173e+00
3.569999999999999840e-01,4.878301898152037075e-01,-1.049595061942172549e+02,-2.200818285374767758e+00,4.995016740064885497e+00
3.579999999999999849e-01,4.856293715298289904e-01,-1.046733128164143380e+02,-2.215469226392390745e+00,4.943835039039178980e+00
3.589999999999999858e-01,4.834139023034365601e-01,-1.043900519340684951e+02,-2.230167701047534479e+00,4.892289016429531401e+00
3.599999999999999867e-01,4.811837346023890571e-01,-1.041097444212688714e+02,-2.244913710810045870e+00,4.840378667081337127e+00
3.609999999999999876e-01,4.789388208915789646e-01,-1.038324111523999562e+02,-2.259707257154525806e+00,4.788103985803563667e+00
3.619999999999999885e-01,4.766791136344244451e-01,-1.035580730021436580e+02,-2.274548341560329590e+00,4.735464967368740119e+00
3.629999999999999893e-01,4.744045652928641221e-01,-1.032867508454813645e+02,-2.289436965511565170e+00,4.682461606512967833e+00
3.639999999999999902e-01,4.721151283273525845e-01,-1.030184655576961177e+02,-2.304373130497094913e+00,4.629093897935907975e+00
3.649999999999999911e-01,4.698107551968555562e-01,-1.027532380143746309e+02,-2.319356838010536048e+00,4.575361836300792184e+00
3.659999999999999920e-01,4.674913983588449562e-01,-1.024910890914093784e+02,-2.334388089550258449e+00,4.521265416234413692e+00
3.669999999999999929e-01,4.651570102692947350e-01,-1.022320396650006700e+02,-2.349466886619387740e+00,4.466804632327128211e+00
3.679999999999999938e-01,4.628075433826753238e-01,-1.019761106116588536e+02,-2.364593230725803075e+00,4.411979479132861037e+00
3.689999999999999947e-01,4.604429501519495260e-01,-1.017233228082062055e+02,-2.379767123382139804e+00,4.356789951169092845e+00
3.699999999999999956e-01,4.580631830285674111e-01,-1.014736971317792182e+02,-2.394988566105786365e+00,4.301236042916873892e+00
3.709999999999999964e-01,4.556681944624616509e-01,-1.012272544598305331e+02,-2.410257560418886946e+00,4.245317748820811588e+00
3.719999999999999973e-01,4.532579369020428017e-01,-1.009840156701311145e+02,-2.425574107848341932e+00,4.189035063289077598e+00
3.729999999999999982e-01,4.508323627941944745e-01,-1.007440016407723249e+02,-2.440938209925805236e+00,4.132387980693403406e+00
3.739999999999999991e-01,4.483914245842686719e-01,-1.005072332501680137e+02,-2.456349868187687413e+00,4.075376495369080310e+00
3.750000000000000000e-01,4.459350747160809592e-01,-1.002737313770565493e+02,-2.471809084175153881e+00,4.018000601614959422e+00
3.760000000000000009e-01,4.434632656319057453e-01,-1.000435169005029934e+02,-2.487315859434127141e+00,3.960260293693451672e+00
3.770000000000000018e-01,4.409759497724716759e-01,-9.981661069990111912e+01,-2.502870195515283669e+00,3.902155565830526918e+00
3.780000000000000027e-01,4.384730795769563594e-01,-9.959303365497552818e+01,-2.518472093974057913e+00,3.843686412215711279e+00
3.790000000000000036e-01,4.359546074829823703e-01,-9.937280664578379685e+01,-2.534121556370639183e+00,3.784852827002090692e+00
3.800000000000000044e-01,4.334204859266117538e-01,-9.915595055271840863e+01,-2.549818584269974320e+00,3.725654804306305135e+00
3.810000000000000053e-01,4.308706673423417510e-01,-9.894248625650902795e+01,-2.565563179241765024e+00,3.666092338208553514e+00
3.820000000000000062e-01,4.283051041630999700e-01,-9.873243463822441868e+01,-2.581355342860471858e+00,3.606165422752588778e+00
3.830000000000000071e-01,4.257237488202395004e-01,-9.852581657927468939e+01,-2.597195076705310690e+00,3.545874051945719252e+00
3.840000000000000080e-01,4.231265537435341395e-01,-9.832265296141325450e+01,-2.613082382360254474e+00,3.485218219758807745e+00
